EmoVal	Freq	WORD	WORD_LOWER	WORD_CLASS	EMO_MEAN	EMO_STD	AROUSAL_MEAN	AROUSAL_STD	IMAGE_MEAN	IMAGE_STD	LETTERS	PHONEMES	SYLLABLES	Ftot/1MIL	N	FN	HFN	FHFN	BIGmean(TOKEN)	ACCENT
NEG	HF	AAL	aal	N	-0,5	0,7	2,4	1,2	6,6	0,7	3	2	1	13,3	6	3182,0	3	3175,2	83677,5	1
NEG	NF	AAS	aas	N	-2,1	1,1	2,6	1,4	5,4	0,9	3	2	1	1,0	6	10568,8	5	10568,5	30120,5	1
NEG	NF	ABART	abart	N	-1,6	0,7	3,3	1,0	2,3	1,3	5	5	2	1,2	2	3,0	1	2,3	80270,0	1
NEG	HF	ABBAU	abbau	N	-1,0	1,2	3,0	1,3	2,2	1,2	5	4	2	14,5	1	6,8	0	0,0	94054,8	1
NEG	HF	ABBAUEN	abbauen	V	-0,8	0,9	2,1	1,2	3,7	1,6	7	6	3	15,5	3	51,0	1	38,0	238806,3	1
NEG	NF	ABBILD	abbild	N	-0,2	0,6	2,1	0,8	3,8	2,0	6	6	2	3,5	0	0,0	0	0,0	45958,4	1
NEG	NF	ABBRUCH	abbruch	N	-0,7	1,2	2,9	1,0	2,8	1,1	7	6	2	11,0	1	0,8	0	0,0	171129,5	1
NEG	NF	ABDANKEN	abdanken	V	-0,4	0,8	2,7	1,1	2,7	1,4	8	8	3	1,2	0	0,0	0	0,0	226844,0	1
NEG	NF	ABDRUCK	abdruck	N	-0,1	0,3	2,2	1,0	4,8	1,3	7	6	2	2,7	1	0,0	0	0,0	45577,3	1
POS	HF	ABEND	abend	N	1,7	0,9	1,8	0,9	4,5	1,7	5	5	2	131,7	0	0,0	0	0,0	460338,5	1
POS	NF	ABENDROT	abendrot	N	2,4	0,7	2,0	1,0	6,8	0,4	8	8	3	0,7	0	0,0	0	0,0	275273,0	1
POS	HF	ABENDS	abends	A	1,0	1,2	2,1	1,4	4,9	1,3	6	5	2	56,3	0	0,0	0	0,0	369196,4	1
POS	NF	ABFAHRT	abfahrt	N	0,3	0,5	3,1	1,2	4,9	1,4	7	6	2	9,5	0	0,0	0	0,0	66920,8	1
NEG	NF	ABFALL	abfall	N	-1,7	1,0	2,4	0,9	5,2	1,6	6	5	2	9,3	1	4,8	0	0,0	89284,4	1
POS	NF	ABFLUG	abflug	N	0,7	0,8	3,1	1,5	5,2	1,0	6	6	2	4,3	2	4,8	0	0,0	36366,6	1
NEG	NF	ABFUHR	abfuhr	N	-1,4	1,1	3,6	1,1	2,4	1,6	6	5	2	3,3	1	0,3	0	0,0	49654,4	1
NEG	NF	ABGANG	abgang	N	-1,0	1,1	2,3	1,1	2,0	1,3	6	5	2	6,7	1	1,5	0	0,0	115882,8	1
NEG	NF	ABGAS	abgas	N	-2,1	0,9	2,9	1,1	3,9	1,5	5	5	2	2,7	0	0,0	0	0,0	50885,3	1
NEG	HF	ABGEBEN	abgeben	V	0,0	1,3	2,2	0,9	3,3	1,6	7	7	3	71,7	4	51,0	0	0,0	315499,5	1
NEG	NF	ABGRUND	abgrund	N	-1,4	0,5	3,9	0,9	6,2	0,7	7	7	2	10,7	0	0,0	0	0,0	155399,8	1
NEG	NF	ABHANG	abhang	N	-0,5	0,5	3,4	1,2	6,0	0,7	6	5	2	1,5	2	11,8	2	11,8	138782,4	1
NEG	NF	ABHAUEN	abhauen	V	-0,9	1,0	3,2	1,0	4,4	1,5	7	6	3	2,0	5	97,0	1	93,0	258127,5	1
POS	NF	ABHILFE	abhilfe	N	0,8	0,6	2,2	1,1	1,8	0,7	7	7	3	2,7	0	0,0	0	0,0	49708,8	1
POS	HF	ABITUR	abitur	N	0,8	0,9	4,0	1,1	3,8	1,8	6	6	3	13,3	0	0,0	0	0,0	96230,0	3
NEG	NF	ABKEHR	abkehr	N	-0,6	0,7	2,8	0,9	2,4	1,2	6	5	2	4,7	1	26,7	1	26,7	79763,4	1
NEG	HF	ABLAUF	ablauf	N	0,0	0,0	2,1	0,8	2,1	0,9	6	5	2	36,2	2	6,2	0	0,0	108428,0	1
NEG	NF	ABLEGER	ableger	N	0,1	0,6	2,2	0,9	3,7	1,9	7	7	3	1,0	3	28,0	2	28,0	364403,7	1
NEG	HF	ABLEHNEN	ablehnen	V	-0,9	1,2	3,0	1,3	3,1	1,6	8	7	3	91,8	2	3,7	0	0,0	237849,3	1
NEG	NF	ABMAGERN	abmagern	V	-1,2	0,4	2,3	1,5	5,0	1,3	8	8	3	2,0	1	13,0	1	13,0	302836,7	1
NEG	NF	ABORT	abort	N	-0,9	1,2	2,4	1,1	3,9	2,4	5	5	2	0,7	1	1,2	1	1,2	76790,8	2
NEG	NF	ABREISE	abreise	N	-0,3	0,8	3,3	1,0	4,4	1,3	7	6	3	9,5	1	0,8	0	0,0	246988,5	1
