vowel,time_index,v_time,time_abs,F1,F2,F3
ii,1,0,0.21,250,2235,2721
ii,2,0.011,0.221,246,2777,3303
ii,3,0.022,0.231,246,2823,3601
ii,4,0.032,0.242,242,2820,3659
ii,5,0.043,0.253,232,2786,3792
ii,6,0.054,0.264,231,2814,3727
ii,7,0.065,0.275,234,2775,3585
ii,8,0.076,0.285,241,2787,3597
ii,9,0.087,0.296,256,2797,3529
ii,10,0.097,0.307,275,2779,3475
ii,11,0.108,0.318,286,2803,3480
ii,12,0.119,0.329,304,2742,3388
ii,13,0.13,0.339,326,2669,3333
ii,14,0.141,0.35,341,2685,3525
ii,15,0.151,0.361,348,2634,3291
I,1,0,1.096,272,1907,2680
I,2,0.003,1.1,289,2093,2726
I,3,0.006,1.103,306,2248,2780
I,4,0.01,1.106,325,2303,2863
I,5,0.013,1.109,341,2347,2930
I,6,0.016,1.112,349,2365,2955
I,7,0.019,1.116,355,2384,2988
I,8,0.022,1.119,359,2409,3037
I,9,0.026,1.122,361,2423,3079
I,10,0.029,1.125,362,2418,3111
I,11,0.032,1.128,361,2407,3135
I,12,0.035,1.132,358,2386,3146
I,13,0.038,1.135,354,2362,3151
I,14,0.042,1.138,350,2336,3149
I,15,0.045,1.141,342,2318,3142
ee,1,0,1.836,245,2293,2858
ee,2,0.012,1.848,276,2778,3399
ee,3,0.023,1.86,291,2835,3543
ee,4,0.035,1.871,296,2794,3547
ee,5,0.047,1.883,300,2767,3590
ee,6,0.059,1.895,293,2743,3556
ee,7,0.07,1.906,293,2788,3704
ee,8,0.082,1.918,297,2759,3583
ee,9,0.094,1.93,297,2708,3606
ee,10,0.106,1.942,306,2736,3568
ee,11,0.117,1.953,315,2718,3457
ee,12,0.129,1.965,328,2782,3414
ee,13,0.141,1.977,339,2707,3304
ee,14,0.152,1.989,340,2601,3331
ee,15,0.164,2,327,2564,3183
E,1,0,2.76,414,1979,2810
E,2,0.005,2.765,449,2174,3034
E,3,0.01,2.77,492,2217,2959
E,4,0.014,2.775,517,2267,3003
E,5,0.019,2.78,531,2318,3060
E,6,0.024,2.784,538,2363,3100
E,7,0.029,2.789,542,2386,3112
E,8,0.034,2.794,546,2389,3165
E,9,0.038,2.799,550,2390,3186
E,10,0.043,2.804,552,2398,3208
E,11,0.048,2.808,552,2420,3271
E,12,0.053,2.813,547,2397,3263
E,13,0.058,2.818,537,2357,3253
E,14,0.062,2.823,523,2330,3252
E,15,0.067,2.828,505,2337,3267
EE,1,0,3.491,434,1905,2810
EE,2,0.012,3.503,539,2247,3025
EE,3,0.024,3.515,547,2379,3106
EE,4,0.036,3.527,573,2378,3177
EE,5,0.048,3.54,618,2371,3116
EE,6,0.061,3.552,631,2393,3136
EE,7,0.073,3.564,649,2380,3090
EE,8,0.085,3.576,643,2401,3154
EE,9,0.097,3.588,639,2364,3122
EE,10,0.109,3.6,644,2385,3220
EE,11,0.121,3.612,625,2363,3262
EE,12,0.133,3.624,613,2352,3209
EE,13,0.145,3.636,598,2412,3281
EE,14,0.157,3.648,600,2316,3203
