vowel,time_index,v_time,time_abs,F1,F2,F3
I,1,0,0.76,410,1922,2199
I,2,0.007,0.767,451,2056,2428
I,3,0.015,0.774,490,2171,2659
I,4,0.022,0.782,500,2220,2755
I,5,0.029,0.789,492,2248,2861
I,6,0.036,0.796,489,2302,3031
I,7,0.044,0.803,498,2391,3228
I,8,0.051,0.811,501,2420,3276
I,9,0.058,0.818,500,2421,3214
I,10,0.065,0.825,504,2460,3276
I,11,0.073,0.832,528,2429,3260
I,12,0.08,0.84,527,2424,3207
I,13,0.087,0.847,483,2426,3252
I,14,0.094,0.854,470,2411,3213
I,15,0.102,0.861,447,2398,3208
ee,1,0,2.527,392,2088,2521
ee,2,0.009,2.536,448,2295,2754
ee,3,0.018,2.545,475,2282,2841
ee,4,0.027,2.554,479,2226,2939
ee,5,0.036,2.563,487,2313,2926
ee,6,0.045,2.572,489,2462,2917
ee,7,0.054,2.581,491,2754,3413
ee,8,0.064,2.59,491,2713,3393
ee,9,0.073,2.599,489,2494,3000
ee,10,0.082,2.608,490,2685,3129
ee,11,0.091,2.618,490,2648,3445
ee,12,0.1,2.627,490,2698,2825
ee,13,0.109,2.636,489,2704,3357
ee,14,0.118,2.645,488,2803,3308
ee,15,0.127,2.654,486,2711,3229
U,1,0,4.208,344,1233,2963
U,2,0.004,4.212,338,1035,2822
U,3,0.008,4.216,332,930,2582
U,4,0.013,4.221,328,873,2372
U,5,0.017,4.225,330,860,2333
U,6,0.021,4.229,332,861,2329
U,7,0.025,4.233,331,863,2360
U,8,0.029,4.237,323,855,2455
U,9,0.034,4.242,318,850,2520
U,10,0.038,4.246,317,843,2555
U,11,0.042,4.25,321,831,2539
U,12,0.046,4.254,336,829,2461
U,13,0.05,4.258,355,831,2377
U,14,0.055,4.263,377,837,2309
U,15,0.059,4.267,401,833,2363
O,1,0,6.215,519,1620,3288
O,2,0.006,6.221,562,1533,3089
O,3,0.012,6.228,602,1478,2868
O,4,0.018,6.234,673,1391,2880
O,5,0.025,6.24,738,1285,2816
O,6,0.031,6.246,747,1237,2616
O,7,0.037,6.252,768,1219,2615
O,8,0.043,6.258,795,1230,2658
O,9,0.049,6.264,792,1259,2693
O,10,0.055,6.27,782,1277,2772
O,11,0.061,6.277,771,1293,2897
O,12,0.067,6.283,752,1239,2775
O,13,0.074,6.289,746,1208,2778
O,14,0.08,6.295,742,1198,2778
O,15,0.086,6.301,709,1360,2916
Y,1,0,7.965,334,1740,2282
Y,2,0.005,7.971,337,1759,2271
Y,3,0.01,7.976,348,1771,2342
Y,4,0.016,7.981,364,1773,2441
Y,5,0.021,7.986,378,1784,2563
Y,6,0.026,7.992,390,1784,2665
Y,7,0.031,7.997,395,1771,2720
Y,8,0.037,8.002,386,1755,2726
Y,9,0.042,8.007,368,1760,2712
Y,10,0.047,8.012,349,1897,2672
Y,11,0.052,8.018,370,2004,2734
Y,12,0.057,8.023,400,2017,2743
Y,13,0.063,8.028,401,1972,2690
Y,14,0.068,8.033,374,1924,2619
Y,15,0.073,8.039,372,1906,2577
OE,1,0,9.724,597,1631,1923
OE,2,0.009,9.732,655,1645,2148
OE,3,0.017,9.741,673,1657,2237
OE,4,0.026,9.749,699,1662,2330
OE,5,0.035,9.758,709,1666,2367
OE,6,0.043,9.767,709,1670,2387
OE,7,0.052,9.775,716,1674,2423
OE,8,0.06,9.784,727,1695,2440
OE,9,0.069,9.793,739,1771,2248
OE,10,0.078,9.801,728,1839,1978
OE,11,0.086,9.81,698,1808,2433
OE,12,0.095,9.818,633,1769,2426
OE,13,0.104,9.827,627,1753,2441
OE,14,0.112,9.836,604,1705,2257
OE,15,0.121,9.844,546,1670,2341
a,1,0,11.675,558,1554,2921
a,2,0.008,11.683,609,1552,2818
a,3,0.016,11.692,768,1535,2810
