vowel,time_index,v_time,time_abs,F1,F2,F3
a,1,0,2.416,572,1223,2819
a,2,0.009,2.425,607,1242,2753
a,3,0.017,2.433,648,1160,2779
a,4,0.026,2.442,715,1131,2809
a,5,0.034,2.45,764,1083,2812
a,6,0.043,2.459,760,1052,2809
a,7,0.052,2.468,775,1096,2840
a,8,0.06,2.476,785,1153,2840
a,9,0.069,2.485,714,1145,2856
a,10,0.077,2.493,575,1116,2847
a,11,0.086,2.502,458,1102,2829
a,12,0.095,2.511,364,1102,2840
a,13,0.103,2.519,339,1099,2846
a,14,0.112,2.528,327,1080,2917
a,15,0.12,2.536,286,1073,2852
AA,1,0,3.993,596,1116,2788
AA,2,0.014,4.007,719,1116,2712
AA,3,0.028,4.021,850,1109,2715
AA,4,0.042,4.035,866,1143,2720
AA,5,0.056,4.049,888,1172,2697
AA,6,0.07,4.063,869,1198,2700
AA,7,0.084,4.077,889,1130,2715
AA,8,0.098,4.091,865,1091,2755
AA,9,0.112,4.105,820,1117,2778
AA,10,0.127,4.119,786,1153,2754
AA,11,0.141,4.133,780,1153,2774
AA,12,0.155,4.147,795,1147,2801
AA,13,0.169,4.161,840,1137,2819
AA,14,0.183,4.175,752,1159,2790
AA,15,0.197,4.189,705,1168,2818
E,1,0,6.383,644,1536,2661
E,2,0.006,6.389,686,1508,2635
E,3,0.013,6.395,738,1506,2617
E,4,0.019,6.402,793,1544,2657
E,5,0.025,6.408,830,1581,2674
E,6,0.031,6.414,839,1594,2674
E,7,0.038,6.421,847,1610,2680
E,8,0.044,6.427,847,1631,2688
E,9,0.05,6.433,838,1651,2685
E,10,0.057,6.439,829,1663,2685
E,11,0.063,6.446,832,1668,2699
E,12,0.069,6.452,842,1670,2720
E,13,0.075,6.458,841,1678,2744
E,14,0.082,6.465,834,1678,2764
E,15,0.088,6.471,819,1659,2770
E,1,0,8.921,573,1613,2709
E,2,0.007,8.929,624,1532,2754
E,3,0.015,8.936,706,1560,2742
E,4,0.022,8.943,754,1584,2747
E,5,0.029,8.95,793,1609,2805
E,6,0.036,8.958,819,1624,2820
E,7,0.044,8.965,829,1607,2809
E,8,0.051,8.972,838,1599,2823
E,9,0.058,8.98,843,1601,2830
E,10,0.065,8.987,834,1591,2803
E,11,0.073,8.994,826,1578,2824
E,12,0.08,9.001,809,1575,2829
E,13,0.087,9.009,765,1557,2821
E,14,0.095,9.016,707,1534,2863
E,15,0.102,9.023,683,1505,2898
ee,1,0,11.177,391,1910,2739
ee,2,0.014,11.191,469,1840,2794
ee,3,0.028,11.205,444,1946,2961
ee,4,0.042,11.219,428,2136,2959
ee,5,0.056,11.233,441,2239,2973
ee,6,0.07,11.247,440,2355,2991
ee,7,0.084,11.261,435,2348,3004
ee,8,0.098,11.275,437,2405,2991
ee,9,0.112,11.289,407,2365,2994
ee,10,0.127,11.303,424,2381,2983
ee,11,0.141,11.318,460,2389,2957
ee,12,0.155,11.332,472,2212,2970
ee,13,0.169,11.346,459,2140,2950
ee,14,0.183,11.36,448,2201,3028
ee,15,0.197,11.374,431,2076,3010
I,1,0,13.244,1688,1871,2908
I,2,0.005,13.249,654,1937,2822
I,3,0.01,13.254,334,2206,2795
I,4,0.015,13.259,340,2461,2809
I,5,0.02,13.264,339,2577,2852
I,6,0.025,13.269,332,2621,2931
I,7,0.03,13.274,322,2574,2991
I,8,0.035,13.279,316,2745,3021
I,9,0.04,13.284,312,2856,3294
I,10,0.045,13.289,311,2720,3883
I,11,0.05,13.294,311,2712,4020
I,12,0.055,13.299,311,2730,4205
I,13,0.06,13.304,303,2778,4335
I,14,0.065,13.309,287,2827,4233
I,15,0.069,13.314,262,2805,3766
ii,1,0,15.244,287,2948,3327
ii,2,0.016,15.26,349,3112,4046
ii,3,0.032,15.276,371,2954,4031
ii,4,0.048,15.292,336,3000,4163
ii,5,0.064,15.308,348,2960,4356
ii,6,0.08,15.324,328,2999,4348
ii,7,0.096,15.34,361,2937,4287
ii,8,0.112,15.356,382,3064,4322
ii,9,0.128,15.372,401,3120,4161
ii,10,0.144,15.388,430,3008,4192
ii,11,0.16,15.404,423,3058,4199
ii,12,0.176,15.421,462,3185,4148
ii,13,0.193,15.437,466,3064,4221
ii,14,0.209,15.453,366,3003,4212
ii,15,0.225,15.469,295,3145,4355
O,1,0,17.362,629,1220,2924
O,2,0.005,17.367,521,979,3005
O,3,0.011,17.372,535,961,3051
O,4,0.016,17.378,576,964,3071
O,5,0.021,17.383,628,966,3072
O,6,0.026,17.388,673,979,3026
O,7,0.032,17.393,683,986,3002
O,8,0.037,17.399,690,995,3002
O,9,0.042,17.404,700,1007,2991
O,10,0.048,17.409,712,1022,2977
O,11,0.053,17.415,720,1039,2974
