vowel,time_index,v_time,time_abs,F1,F2,F3
ii,1,0,0.439,607,2186,2708
ii,2,0.013,0.452,265,2155,2760
ii,3,0.025,0.465,265,2196,2888
ii,4,0.038,0.477,263,2219,2955
ii,5,0.051,0.49,257,2242,3006
ii,6,0.063,0.503,255,2258,3037
ii,7,0.076,0.515,255,2275,3066
ii,8,0.089,0.528,255,2286,3078
ii,9,0.101,0.541,256,2297,3075
ii,10,0.114,0.553,257,2324,3046
ii,11,0.127,0.566,259,2344,3000
ii,12,0.139,0.579,260,2338,2925
ii,13,0.152,0.591,261,2331,2850
ii,14,0.165,0.604,264,2312,2788
ii,15,0.178,0.617,271,2220,2700
I,1,0,2.118,360,1908,2407
I,2,0.004,2.122,361,1926,2423
I,3,0.008,2.126,363,1937,2425
I,4,0.011,2.129,364,1948,2428
I,5,0.015,2.133,364,1959,2450
I,6,0.019,2.137,363,1970,2475
I,7,0.023,2.141,361,1978,2497
I,8,0.027,2.145,360,1984,2517
I,9,0.031,2.149,357,1987,2533
I,10,0.034,2.152,353,1984,2541
I,11,0.038,2.156,349,1981,2548
I,12,0.042,2.16,346,1972,2550
I,13,0.046,2.164,344,1963,2551
I,14,0.05,2.168,341,1954,2553
I,15,0.053,2.171,338,1945,2554
ee,1,0,3.719,350,1995,2427
ee,2,0.013,3.732,355,2090,2539
ee,3,0.025,3.744,358,2155,2662
ee,4,0.038,3.757,359,2193,2738
ee,5,0.05,3.769,346,2221,2772
ee,6,0.063,3.782,346,2249,2793
ee,7,0.075,3.795,348,2273,2816
ee,8,0.088,3.807,348,2283,2825
ee,9,0.1,3.82,349,2289,2816
ee,10,0.113,3.832,350,2292,2790
ee,11,0.125,3.845,352,2286,2764
ee,12,0.138,3.857,350,2274,2744
ee,13,0.151,3.87,349,2264,2725
ee,14,0.163,3.882,348,2217,2703
ee,15,0.176,3.895,343,2142,2686
E,1,0,5.375,494,1706,2343
E,2,0.005,5.381,501,1726,2352
E,3,0.011,5.386,510,1747,2364
E,4,0.016,5.392,521,1766,2382
E,5,0.022,5.397,527,1777,2401
E,6,0.027,5.403,530,1784,2420
E,7,0.033,5.408,533,1794,2441
E,8,0.038,5.414,536,1802,2461
E,9,0.044,5.419,538,1808,2480
E,10,0.049,5.425,537,1814,2499
E,11,0.055,5.43,535,1818,2517
E,12,0.06,5.435,532,1812,2533
E,13,0.065,5.441,525,1804,2544
E,14,0.071,5.446,515,1795,2552
E,15,0.076,5.452,508,1783,2552
EE,1,0,6.906,454,1657,2356
EE,2,0.015,6.921,480,1753,2413
EE,3,0.031,6.937,505,1811,2489
EE,4,0.046,6.952,535,1832,2501
EE,5,0.061,6.967,558,1855,2510
EE,6,0.076,6.982,570,1868,2528
EE,7,0.092,6.998,578,1872,2517
EE,8,0.107,7.013,573,1871,2528
EE,9,0.122,7.028,577,1866,2538
EE,10,0.137,7.043,574,1871,2546
EE,11,0.153,7.059,560,1870,2565
EE,12,0.168,7.074,542,1873,2592
EE,13,0.183,7.089,523,1854,2610
EE,14,0.199,7.105,501,1818,2614
EE,15,0.214,7.12,441,1763,2600
yy,1,0,8.611,301,1697,2241
yy,2,0.01,8.621,308,1695,2240
yy,3,0.02,8.631,311,1702,2248
yy,4,0.03,8.641,307,1714,2253
yy,5,0.04,8.651,306,1727,2255
yy,6,0.05,8.661,305,1735,2265
yy,7,0.061,8.671,306,1749,2289
yy,8,0.071,8.681,309,1753,2296
yy,9,0.081,8.691,309,1743,2305
yy,10,0.091,8.702,302,1740,2295
yy,11,0.101,8.712,296,1736,2298
yy,12,0.111,8.722,294,1743,2311
yy,13,0.121,8.732,295,1754,2332
yy,14,0.131,8.742,297,1770,2376
yy,15,0.141,8.752,313,1798,2440
Y,1,0,10.297,400,1641,2360
Y,2,0.004,10.3,402,1651,2365
Y,3,0.008,10.304,400,1657,2368
Y,4,0.011,10.308,393,1659,2371
Y,5,0.015,10.312,386,1660,2374
Y,6,0.019,10.316,378,1660,2380
Y,7,0.023,10.319,370,1659,2386
Y,8,0.027,10.323,366,1666,2404
Y,9,0.031,10.327,362,1673,2424
Y,10,0.034,10.331,359,1676,2442
Y,11,0.038,10.335,357,1677,2459
Y,12,0.042,10.339,355,1675,2475
Y,13,0.046,10.342,352,1669,2489
Y,14,0.05,10.346,349,1662,2502
Y,15,0.053,10.35,351,1653,2512
oe,1,0,11.695,371,1591,2278
oe,2,0.014,11.71,383,1605,2300
oe,3,0.029,11.724,405,1609,2315
