vowel,time_index,v_time,time_abs,F1,F2,F3
ii,1,0,0.363,262,2022,2462
ii,2,0.012,0.374,293,2121,2664
ii,3,0.024,0.386,309,2153,2789
ii,4,0.036,0.398,316,2182,2872
ii,5,0.047,0.41,314,2213,2927
ii,6,0.059,0.422,313,2225,2939
ii,7,0.071,0.434,310,2242,2953
ii,8,0.083,0.446,299,2252,2969
ii,9,0.095,0.457,281,2255,2948
ii,10,0.107,0.469,274,2267,2926
ii,11,0.119,0.481,273,2282,2874
ii,12,0.13,0.493,267,2274,2803
ii,13,0.142,0.505,266,2261,2772
ii,14,0.154,0.517,268,2219,2698
ii,15,0.166,0.528,269,2173,2673
I,1,0,1.963,358,1877,2434
I,2,0.003,1.967,362,1889,2452
I,3,0.007,1.97,367,1900,2476
I,4,0.01,1.973,372,1912,2500
I,5,0.014,1.977,378,1915,2517
I,6,0.017,1.98,384,1916,2533
I,7,0.02,1.984,390,1917,2549
I,8,0.024,1.987,388,1916,2557
I,9,0.027,1.99,386,1914,2564
I,10,0.031,1.994,383,1913,2571
I,11,0.034,1.997,375,1907,2576
I,12,0.037,2.001,368,1901,2582
I,13,0.041,2.004,360,1895,2587
I,14,0.044,2.007,363,1894,2598
I,15,0.048,2.011,367,1894,2609
ee,1,0,3.519,346,2111,2585
ee,2,0.013,3.532,351,2146,2658
ee,3,0.026,3.545,349,2173,2738
ee,4,0.039,3.558,342,2214,2776
ee,5,0.052,3.571,339,2232,2808
ee,6,0.065,3.583,340,2246,2813
ee,7,0.078,3.596,346,2248,2816
ee,8,0.091,3.609,356,2242,2814
ee,9,0.104,3.622,361,2230,2786
ee,10,0.117,3.635,352,2220,2771
ee,11,0.13,3.648,356,2221,2741
ee,12,0.143,3.661,356,2201,2710
ee,13,0.156,3.674,350,2171,2677
ee,14,0.169,3.687,341,2119,2653
ee,15,0.182,3.7,335,2031,2631
E,1,0,5.097,494,1703,2377
E,2,0.006,5.103,505,1731,2422
E,3,0.012,5.109,507,1740,2436
E,4,0.018,5.115,506,1744,2441
E,5,0.024,5.121,503,1757,2444
E,6,0.03,5.127,504,1770,2450
E,7,0.035,5.132,511,1785,2461
E,8,0.041,5.138,511,1789,2470
E,9,0.047,5.144,509,1788,2478
E,10,0.053,5.15,493,1786,2479
E,11,0.059,5.156,478,1788,2485
E,12,0.065,5.162,463,1798,2504
E,13,0.071,5.168,450,1802,2516
E,14,0.077,5.174,438,1803,2523
E,15,0.083,5.18,422,1793,2519
EE,1,0,6.855,512,1653,2455
EE,2,0.015,6.87,543,1715,2548
EE,3,0.031,6.886,574,1740,2549
