sample,modal,inf,n,procent,syl_inf,xpos,upos,morph_aspect,xpos2
casniki,morati,biti,536,29.18,2,Gp-n,AUX,Imp,Va-n
casniki,morati,imeti,90,4.9,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,narediti,25,1.36,4,Ggdn,VERB,Perf,Vmen
casniki,morati,upoštevati,24,1.31,5,Ggvn,VERB,Both,Vmbn
casniki,morati,vedeti,23,1.25,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,ostati,22,1.2,3,Ggdn,VERB,Perf,Vmen
casniki,morati,poskrbeti,21,1.14,3,Ggdn,VERB,Perf,Vmen
casniki,morati,nositi,20,1.09,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,zavedati,20,1.09,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,delati,19,1.03,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,zagotoviti,17,0.93,5,Ggdn,VERB,Perf,Vmen
casniki,morati,iti,15,0.82,2,Ggvn,VERB,Both,Vmbn
casniki,morati,plačati,15,0.82,3,Ggdn,VERB,Perf,Vmen
casniki,morati,priznati,15,0.82,3,Ggdn,VERB,Perf,Vmen
casniki,morati,naučiti,13,0.71,3,Ggdn,VERB,Perf,Vmen
casniki,morati,opraviti,13,0.71,4,Ggdn,VERB,Perf,Vmen
casniki,morati,vrniti,12,0.65,2,Ggdn,VERB,Perf,Vmen
casniki,morati,začeti,12,0.65,3,Ggdn,VERB,Perf,Vmen
casniki,morati,priti,11,0.6,2,Ggdn,VERB,Perf,Vmen
casniki,morati,skrbeti,11,0.6,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,odločiti,10,0.54,4,Ggdn,VERB,Perf,Vmen
casniki,morati,storiti,10,0.54,3,Ggdn,VERB,Perf,Vmen
casniki,morati,izpolnjevati,9,0.49,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,ravnati,9,0.49,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,zapreti,9,0.49,3,Ggdn,VERB,Perf,Vmen
casniki,morati,opravljati,8,0.44,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,pomagati,8,0.44,4,Ggvn,VERB,Both,Vmbn
casniki,morati,sprejeti,8,0.44,3,Ggdn,VERB,Perf,Vmen
casniki,morati,dati,7,0.38,2,Ggdn,VERB,Perf,Vmen
casniki,morati,paziti,7,0.38,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,potekati,7,0.38,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,povedati,7,0.38,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pridobiti,7,0.38,4,Ggdn,VERB,Perf,Vmen
casniki,morati,reči,7,0.38,2,Ggdn,VERB,Perf,Vmen
casniki,morati,spoštovati,7,0.38,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,spremeniti,7,0.38,4,Ggdn,VERB,Perf,Vmen
casniki,morati,uporabljati,7,0.38,5,Ggnn,VERB,Imp,Vmpn
casniki,morati,držati,6,0.33,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,najti,6,0.33,2,Ggdn,VERB,Perf,Vmen
casniki,morati,počakati,6,0.33,4,Ggdn,VERB,Perf,Vmen
casniki,morati,poznati,6,0.33,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,ti,6,0.33,1,Zk-mmi,UNK,UNK,Pd-mpn
casniki,morati,učiti,6,0.33,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,ukrepati,6,0.33,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,voditi,6,0.33,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,znati,6,0.33,2,Ggnn,VERB,Imp,Vmpn
casniki,morati,boriti,5,0.27,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,obstajati,5,0.27,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,odgovoriti,5,0.27,5,Ggdn,VERB,Perf,Vmen
casniki,morati,oditi,5,0.27,3,Ggdn,VERB,Perf,Vmen
casniki,morati,odločati,5,0.27,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,poiskati,5,0.27,3,Ggdn,VERB,Perf,Vmen
casniki,morati,postaviti,5,0.27,4,Ggdn,VERB,Perf,Vmen
casniki,morati,predložiti,5,0.27,4,Ggdn,VERB,Perf,Vmen
casniki,morati,pustiti,5,0.27,3,Ggdn,VERB,Perf,Vmen
casniki,morati,razmišljati,5,0.27,4,Ggnn,VERB,Imp,Vmpn
casniki,morati,vzeti,5,0.27,2,Ggdn,VERB,Perf,Vmen
casniki,morati,čakati,4,0.22,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,čutiti,4,0.22,3,Ggnn,VERB,Imp,Vmpn
casniki,morati,dobiti,4,0.22,3,Ggdn,VERB,Perf,Vmen
casniki,morati,dokazati,4,0.22,4,Ggdn,VERB,Perf,Vmen
casniki,morati,govoriti,4,0.22,4,Ggnn,VERB,Imp,Vmpn
