01N0101010100	Somei	Ncmsn
01N0101010200	Somer	Ncmsg
01N0101010300	Somed	Ncmsd
01N0101010401	Sometn	Ncmsan
01N0101010402	Sometd	Ncmsay
01N0101010500	Somem	Ncmsl
01N0101010600	Someo	Ncmsi
01N0101020100	Somdi	Ncmdn
01N0101020200	Somdr	Ncmdg
01N0101020300	Somdd	Ncmdd
01N0101020400	Somdt	Ncmda
01N0101020500	Somdm	Ncmdl
01N0101020600	Somdo	Ncmdi
01N0101030100	Sommi	Ncmpn
01N0101030200	Sommr	Ncmpg
01N0101030300	Sommd	Ncmpd
01N0101030400	Sommt	Ncmpa
01N0101030500	Sommm	Ncmpl
01N0101030600	Sommo	Ncmpi
01N0102010100	Sozei	Ncfsn
01N0102010200	Sozer	Ncfsg
01N0102010300	Sozed	Ncfsd
01N0102010400	Sozet	Ncfsa
01N0102010500	Sozem	Ncfsl
01N0102010600	Sozeo	Ncfsi
01N0102020100	Sozdi	Ncfdn
01N0102020200	Sozdr	Ncfdg
01N0102020300	Sozdd	Ncfdd
01N0102020400	Sozdt	Ncfda
01N0102020500	Sozdm	Ncfdl
01N0102020600	Sozdo	Ncfdi
01N0102030100	Sozmi	Ncfpn
01N0102030200	Sozmr	Ncfpg
01N0102030300	Sozmd	Ncfpd
01N0102030400	Sozmt	Ncfpa
01N0102030500	Sozmm	Ncfpl
01N0102030600	Sozmo	Ncfpi
01N0103010100	Sosei	Ncnsn
01N0103010200	Soser	Ncnsg
01N0103010300	Sosed	Ncnsd
01N0103010400	Soset	Ncnsa
01N0103010500	Sosem	Ncnsl
01N0103010600	Soseo	Ncnsi
01N0103020100	Sosdi	Ncndn
01N0103020200	Sosdr	Ncndg
01N0103020300	Sosdd	Ncndd
01N0103020400	Sosdt	Ncnda
01N0103020500	Sosdm	Ncndl
01N0103020600	Sosdo	Ncndi
01N0103030100	Sosmi	Ncnpn
01N0103030200	Sosmr	Ncnpg
01N0103030300	Sosmd	Ncnpd
01N0103030400	Sosmt	Ncnpa
01N0103030500	Sosmm	Ncnpl
01N0103030600	Sosmo	Ncnpi
01N0201010100	Slmei	Npmsn
01N0201010200	Slmer	Npmsg
01N0201010300	Slmed	Npmsd
01N0201010401	Slmetn	Npmsan
01N0201010402	Slmetd	Npmsay
01N0201010500	Slmem	Npmsl
01N0201010600	Slmeo	Npmsi
01N0201020100	Slmdi	Npmdn
01N0201020200	Slmdr	Npmdg
01N0201020300	Slmdd	Npmdd
01N0201020400	Slmdt	Npmda
01N0201020500	Slmdm	Npmdl
01N0201020600	Slmdo	Npmdi
01N0201030100	Slmmi	Npmpn
01N0201030200	Slmmr	Npmpg
01N0201030300	Slmmd	Npmpd
01N0201030400	Slmmt	Npmpa
01N0201030500	Slmmm	Npmpl
01N0201030600	Slmmo	Npmpi
01N0202010100	Slzei	Npfsn
01N0202010200	Slzer	Npfsg
01N0202010300	Slzed	Npfsd
01N0202010400	Slzet	Npfsa
01N0202010500	Slzem	Npfsl
01N0202010600	Slzeo	Npfsi
01N0202020100	Slzdi	Npfdn
01N0202020200	Slzdr	Npfdg
01N0202020300	Slzdd	Npfdd
01N0202020400	Slzdt	Npfda
01N0202020500	Slzdm	Npfdl
01N0202020600	Slzdo	Npfdi
01N0202030100	Slzmi	Npfpn
01N0202030200	Slzmr	Npfpg
01N0202030300	Slzmd	Npfpd
01N0202030400	Slzmt	Npfpa
01N0202030500	Slzmm	Npfpl
01N0202030600	Slzmo	Npfpi
01N0203010100	Slsei	Npnsn
01N0203010200	Slser	Npnsg
01N0203010300	Slsed	Npnsd
01N0203010400	Slset	Npnsa
01N0203010500	Slsem	Npnsl
01N0203010600	Slseo	Npnsi
01N0203030100	Slsmi	Npnpn
01N0203030200	Slsmr	Npnpg
01N0203030300	Slsmd	Npnpd
01N0203030400	Slsmt	Npnpa
01N0203030500	Slsmm	Npnpl
01N0203030600	Slsmo	Npnpi
02V01010100000000	Ggdn	Vmen
02V01010200000000	Ggdm	Vmeu
02V01010300010100	Ggdd-em	Vmep-sm
02V01010300010200	Ggdd-ez	Vmep-sf
02V01010300010300	Ggdd-es	Vmep-sn
02V01010300020100	Ggdd-mm	Vmep-pm
02V01010300020200	Ggdd-mz	Vmep-pf
02V01010300020300	Ggdd-ms	Vmep-pn
02V01010300030100	Ggdd-dm	Vmep-dm
02V01010300030200	Ggdd-dz	Vmep-df
02V01010300030300	Ggdd-ds	Vmep-dn
02V01010401010000	Ggdspe	Vmer1s
02V01010401020000	Ggdspm	Vmer1p
02V01010401030000	Ggdspd	Vmer1d
02V01010402010000	Ggdsde	Vmer2s
02V01010402020000	Ggdsdm	Vmer2p
02V01010402030000	Ggdsdd	Vmer2d
02V01010403010000	Ggdste	Vmer3s
02V01010403020000	Ggdstm	Vmer3p
02V01010403030000	Ggdstd	Vmer3d
02V01010701020000	Ggdvpm	Vmem1p
02V01010701030000	Ggdvpd	Vmem1d
02V01010702010000	Ggdvde	Vmem2s
02V01010702020000	Ggdvdm	Vmem2p
02V01010702030000	Ggdvdd	Vmem2d
02V01020100000000	Ggnn	Vmpn
02V01020200000000	Ggnm	Vmpu
02V01020300010100	Ggnd-em	Vmpp-sm
02V01020300010200	Ggnd-ez	Vmpp-sf
02V01020300010300	Ggnd-es	Vmpp-sn
02V01020300020100	Ggnd-mm	Vmpp-pm
02V01020300020200	Ggnd-mz	Vmpp-pf
02V01020300020300	Ggnd-ms	Vmpp-pn
02V01020300030100	Ggnd-dm	Vmpp-dm
02V01020300030200	Ggnd-dz	Vmpp-df
02V01020300030300	Ggnd-ds	Vmpp-dn
02V01020401010000	Ggnspe	Vmpr1s
02V01020401010001	Ggnspe-n	Vmpr1s-n
02V01020401010002	Ggnspe-d	Vmpr1s-y
02V01020401020000	Ggnspm	Vmpr1p
02V01020401020001	Ggnspm-n	Vmpr1p-n
02V01020401020002	Ggnspm-d	Vmpr1p-y
02V01020401030000	Ggnspd	Vmpr1d
02V01020401030001	Ggnspd-n	Vmpr1d-n
02V01020401030002	Ggnspd-d	Vmpr1d-y
02V01020402010000	Ggnsde	Vmpr2s
02V01020402010001	Ggnsde-n	Vmpr2s-n
02V01020402010002	Ggnsde-d	Vmpr2s-y
02V01020402020000	Ggnsdm	Vmpr2p
02V01020402020001	Ggnsdm-n	Vmpr2p-n
02V01020402020002	Ggnsdm-d	Vmpr2p-y
02V01020402030000	Ggnsdd	Vmpr2d
02V01020402030001	Ggnsdd-n	Vmpr2d-n
02V01020402030002	Ggnsdd-d	Vmpr2d-y
02V01020403010000	Ggnste	Vmpr3s
02V01020403010001	Ggnste-n	Vmpr3s-n
02V01020403010002	Ggnste-d	Vmpr3s-y
02V01020403020000	Ggnstm	Vmpr3p
02V01020403020001	Ggnstm-n	Vmpr3p-n
02V01020403020002	Ggnstm-d	Vmpr3p-y
02V01020403030000	Ggnstd	Vmpr3d
02V01020403030001	Ggnstd-n	Vmpr3d-n
02V01020403030002	Ggnstd-d	Vmpr3d-y
02V01020701020000	Ggnvpm	Vmpm1p
02V01020701030000	Ggnvpd	Vmpm1d
02V01020702010000	Ggnvde	Vmpm2s
02V01020702020000	Ggnvdm	Vmpm2p
02V01020702030000	Ggnvdd	Vmpm2d
02V01030100000000	Ggvn	Vmbn
02V01030200000000	Ggvm	Vmbu
