xpos2,inf0
Gp-n,biti
Ggnn,imeti
Ggdn,narediti
Ggvn,upoštevati
Ggnn,vedeti
Ggdn,ostati
Ggdn,poskrbeti
Ggnn,nositi
Ggnn,zavedati
Ggnn,delati
Ggdn,zagotoviti
Ggvn,iti
Ggdn,plačati
Ggdn,priznati
Ggdn,naučiti
Ggdn,opraviti
Ggdn,vrniti
Ggdn,začeti
Ggdn,priti
Ggnn,skrbeti
Ggdn,odločiti
Ggdn,storiti
Ggnn,izpolnjevati
Ggnn,ravnati
Ggdn,zapreti
Ggnn,opravljati
Ggvn,pomagati
Pdnmmi,sprejeti
Ggdn,dati
Ggnn,paziti
Ggnn,potekati
Ggdn,povedati
Ggdn,pridobiti
Sozmt,reči
Ggnn,spoštovati
Ggdn,spremeniti
Ggnn,uporabljati
Ggnn,držati
Ggdn,najti
Ggdn,počakati
Ggnn,poznati
Zk-mmi,ti
Ggnn,učiti
Ggnn,ukrepati
Ggnn,voditi
Ggnn,znati
Ggnn,boriti
Ggnn,obstajati
Ggdn,odgovoriti
Ggdn,oditi
Ggnn,odločati
Ggdn,poiskati
Ggdn,postaviti
Ggdn,predložiti
Ggdn,pustiti
Ggnn,razmišljati
Ggdn,vzeti
Ggnn,čakati
Ggnn,čutiti
Ggdn,dobiti
Ggdn,dokazati
Ggnn,govoriti
Ggnn,hoditi
Ggnn,izbirati
Ggdn,izbrati
Ggnn,izvajati
Ggvn,kaznovati
Ggdn,oddati
Ggdn,odpovedati
Ggdn,odpreti
Ggdn,omeniti
Ggdn,omogočiti
Ggdn,osredotočiti
Ggnn,plačevati
Ggdn,pokazati
Ggdn,preživeti
Ggdn,prilagoditi
Ggnn,slediti
Ggdn,stopiti
Ggnn,ukvarjati
Ggnn,uživati
Ggdn,vpisati
Ggdn,vprašati
Ggdn,znajti
Ggnn,živeti
Ggdn,izkazati
Ggdn,izkoristiti
Ggnn,izogibati
Ggdn,končati
Ggnn,nadaljevati
Ggdn,nameniti
Ggdn,napisati
Ggdn,obiskati
Ggdn,odstraniti
Ggnn,pisati
Ggvn,podati
Ggdn,poklicati
Ggdn,ponuditi
Ggdn,popraviti
Ggdn,potrditi
Ggnn,prenašati
Ggdn,prestaviti
Ggdn,preteči
Ggdn,preveriti
Ggdn,pripraviti
Dd,proti
Ggdn,raziskati
Ggdn,razmisliti
Ggvn,razumeti
Ggnn,sedeti
Ggdn,soočiti
Ggvn,spoznati
Ggdn,sprijazniti
Ggnn,strinjati
Ggnn,ščititi
Ggdn,umakniti
Ggdn,urediti
Ggdn,ustvariti
Ggnn,zagotavljati
Ggdn,zapustiti
Ggvn,zaupati
Ggnn,bati
Ggnn,čuvati
Ggnn,dajati
Ggnn,delovati
Ggnn,dihati
Ggdn,dogovoriti
Ggnn,dokazovati
Ggdn,dvigniti
Ggnn,igrati
Ggdn,izgubiti
Ggdn,izpolniti
Ggdn,izpustiti
Ggnn,jesti
Ggdn,kupiti
Ggdn,najeti
Ggdn,napraviti
Ggdn,nastopiti
Ggdn,nehati
Ggnn,obiskovati
Ggdn,obleči
Ggdn,obnoviti
Ggdn,oceniti
Ggnn,odpirati
Ggdn,odsvetovati
Ggdn,odšteti
Ggdn,odviti
Ggdn,ohraniti
Ggdn,okrepiti
Ggdn,omejiti
Ggdn,opustiti
Ggdn,podpisati
Ggdn,pogovoriti
Ggdn,pohvaliti
Ggdn,pomisliti
Ggnn,poskušati
Ggdn,posloviti
Ggnn,poslušati
Ggdn,posneti
Ggvn,posredovati
Ggdn,postati
Ggdn,posvetiti
Ggvn,posvetovati
Ggdn,potegniti
Ggdn,potruditi
Ggdn,povezati
Ggdn,pozabiti
Ggdn,predelati
Ggnn,prejemati
Ggdn,prepustiti
Ggdn,presoditi
Ggdn,prijaviti
Ggdn,prirediti
Ggdn,pristati
Ggnn,reševati
Ggnn,sodelovati
Ggnn,spopadati
Ggdn,spopasti
Ggnn,spraševati
Ggnn,spremljati
Ggnn,sproščati
Ggdn,spucati
Ggnn,stati
Ggvn,testirati
Zk-mmi,tisti
Ggdn,ugasniti
Ggdn,uglasiti
Ggdn,umiti
Ggnn,usklajevati
Ggnn,ustvarjati
Ggnn,veljati
Sozmt,vesti
Ggvn,videti
Ggnn,vključevati
Ggdn,vključiti
Ggdn,vložiti
Ggdn,vpeljati
Ggnn,zadoščati
Ggdn,zadovoljiti
Ggdn,zapisati
Ggdn,zaščititi
Ggdn,zavarovati
Ggdn,zavezati
Ggdn,zavrniti
Pdnmmi,zavrti
Ggdn,zbrati
Ggnn,zdraviti
Ggdn,zglasiti
Ggdn,zgoditi
Ggdn,zmanjšati
Ggnn,znašati
Ggdn,znebiti
Ggnn,čistiti
Sommi,decentralisti
Ggvn,definirati
Ggvn,doklicati
Ggdn,določiti
Ggnn,domovati
Ggnn,doplačevati
Ggvn,doprinesti
Ggdn,dopustiti
Ggdn,dotakniti
Ggdn,dovoliti
Ggnn,gledati
Ggnn,gostiti
Ggnn,graditi
Ggvn,hospitalizirati
Ggnn,hraniti
Ggnn,hvaliti
Ggnn,iskati
Ggdn,izboriti
Ggdn,izčistiti
Ggdn,izdelati
Ggdn,izginiti
Ggnn,izkazovati
Ggdn,izkusiti
Ggnn,izobraževati
Ggvn,izolirati
Ppnmmi,izraziti
Ggdn,izvesti
Ggdn,izvršiti
Ggnn,jemati
Sommi,komunisti
Ggvn,koncentrirati
Ggvn,konkurirati
Ggvn,koordinirati
Ggnn,kriti
Ggnn,kupovati
Ggnn,ljubiti
Ggnn,lotevati
Sozer,malenkosti
Sommi,mati
Ggnn,mazati
Ggnn,menjavati
Ggvn,modernizirati
L,morebiti
Ggnn,načrtovati
Ggdn,nadeti
Ggdn,nadgraditi
Ggnn,nadomeščati
Ggnn,nadzirati
Ggdn,nagrabiti
Ggdn,napotiti
Ggvn,napredovati
Ggdn,narezati
Ggnn,naročati
Ggdn,naročiti
Ggdn,navaditi
Ggdn,navesti
Ggnn,negovati
Ggnn,občudovati
Ggdn,občutiti
Ggdn,obljubiti
Ggnn,obnašati
Ggnn,obravnavati
Ggdn,obrniti
Ggnn,obsegati
Ggnn,obsojati
Ggdn,obveljati
Ggdn,obvestiti
Ggvn,obvladati
Ggdn,oddaljiti
Ggnn,odgovarjati
Ggdn,odgovrajati
Ggdn,odhiteti
Ggdn,odnehati
Ggdn,odnesti
Ggdn,odpeljati
